think: 3
shorts: N
picnic: N
car: N
nail: N
her: N
water: 2
bedroom: N
knee: 3
of: N
diaper: N
plate: N
they: N
boots: N
door: N
wanna: N
this: N
gum: N
babysitter's name: N
lunch: N
on: N
house: N
under: N
a: N
work: N
zebra: N
heavy: N
dryer: N
necklace: N
farm: N
finish: N
room: N
deer: N
morning: N
not: N
bug: N
ride: N
towel: N
cut: N
apple: N
snow: N
grandpa: N
around: N
hurry: N
camera: N
window: N
who: N
hush: N
doctor: N
foot: 3
because: N
dance: N
train: N
look: N
bat: N
soft: N
out: N
now: N
bear: N
up: N
be: N
school: N
sticky: N
grandma: N
popsicle: N
fish: N
underpants: N
glasses: N
more: N
corn: N
couch: N
stone: N
peekaboo: N
did: N
no: N
picture: N
climb: N
baby: N
penis: N
back: 3
present: N
jello: N
cereal: N
jeans: N
hi: N
ear: 3
off: N
today: N
butter: N
star: N
bathroom: N
pretzel: N
try to: N
living room: N
bicycle: N
pet's name: N
applesauce: N
dark: N
get: N
potty: N
pudding: N
lady: N
stairs: N
where: N
friend: N
cow: N
hat: N
other: N
movie: N
sky: N
on top of: N
orange: N
feed: N
penny: N
this little piggy: N
street: N
brown: N
bathtub: N
cheese: N
cute: N
hot: N
what: N
banana: N
owie: N
grrr: N
pour: N
gas station: N
fix: N
another: N
were: N
soup: N
nap: N
bunny: N
country: N
fast: N
basement: N
grass: N
rock: N
man: N
smile: 3
eye: 3
sleep: 3
none: N
head: 3
pumpkin: N
play dough: N
stuck: N
mine: N
sing: N
puzzle: N
cover: N
much: N
sweater: N
give: N
chicken: N
love: 3
bubble: N
quack quack: N
good: N
garage: N
porch: N
make: N
yogurt: N
gentle: N
face: 3
try: N
see: N
cheek: 3
tiger: N
monkey: N
tummy: 3
watch: N
moo: N
chalk: N
have to: N
soap: N
sheep: N
moon: N
balloon: N
night night: N
lick: N
don't: N
garbage: N
sofa: N
yum yum: N
shake: N
tuna: N
wait: N
hamburger: N
rocking chair: N
toothbrush: N
hand: 3
an: N
tractor: N
in: N
awake: 3
can: N
eat: N
person: N
kiss: N
ball: N
cake: N
truck: N
cat: N
doll: N
hungry: 3
need to: N
mop: N
could: N
cup: N
sprinkler: N
muffin: N
hammer: N
cold: N
penguin: N
meow: N
bye: N
yesterday: N
away: N
nice: N
stroller: N
moose: N
fish: N
trash: N
clean: N
uncle: N
toe: 3
and: N
spaghetti: N
open: N
ouch: N
sad: 3
TV: N
swing: N
dirty: N
carry: N
spill: N
food: N
careful: N
all: N
watch: N
refrigerator: N
say: N
meat: N
game: N
beside: N
hear: N
if: N
paint: N
swing: N
would: N
go: N
vanilla: N
bath: N
hose: N
fine: N
have: N
yucky: N
glove: N
am: N
thank you: N
help: N
camping: N
taste: N
bring: N
bench: N
us: N
sick: 3
dump: N
later: N
lawn mower: N
play pen: N
sandwich: N
happy: 3
I: N
lip: 3
owl: N
first: N
here: N
knife: N
purse: N
mitten: N
write: N
home: N
fall: N
dress: N
toast: N
glass: N
candy: N
comb: N
sit: N
pop: N
about: N
horse: N
bucket: N
block: N
clock: N
bowl: N
your: N
snack: N
child's own name: N
alligator: N
that: N
work: N
leg: 3
medicine: N
drink: N
hers: N
poor: N
garden: N
sled: N
animal: N
hate: N
bird: N
tonight: N
babysitter: N
tooth: N
bean: N
sandbox: N
store: N
give me five: N
yard: N
show: N
with: N
scared: 3
goose: N
got to: N
shirt: N
them: N
these: N
catch: N
will: N
there: N
mouth: 3
washing machine: N
kleenex: N
blue: N
a lot: N
myself: N
for: N
so: N
tear: N
at: N
was: N
pizza: N
firetruck: N
donkey: N
chocolate: N
high: N
empty: N
mailman: N
sidewalk: N
tissue: N
old: N
stay: N
hold: N
slide: N
chicken: N
motorcycle: N
strawberry: N
sweep: N
over: N
vacuum: N
turtle: N
pillow: N
shoe: N
kitty: N
sock: N
juice: 2
kitchen: N
pony: N
ladder: N
crayon: N
people: N
bottle: N
closet: N
slide: N
jump: N
all gone: N
wake: N
hen: N
vroom: N
coat: N
sink: N
flag: N
behind: N
oven: N
to: N
how: N
swim: N
walk: N
zipper: N
shush: N
lamb: N
belt: N
cockadoodledoo: N
big: N
wash: N
shovel: N
table: N
tired: 3
cook: N
drive: N
raisin: N
dish: N
ankle: 3
the: N
broken: N
above: N
ice cream: N
choo choo: N
green beans: N
gotta: N
jacket: N
arm: 3
sister: N
high chair: N
baa baa: N
after: N
naughty: N
wish: N
hello: N
bump: N
wet: N
butterfly: N
sneaker: N
outside: N
dinner: N
orange: N
scarf: N
dry: N
better: N
vitamins: N
by: N
close: N
why: N
inside: N
him: N
any: N
stick: N
walker: N
gonna: N
skate: N
party: N
loud: N
asleep: 3
turn around: N
dry: N
when: N
does: N
stand: N
drop: N
jelly: N
some: N
bottom: N
do: N
tray: N
every: N
spoon: N
hafta: N
