think: 3
pumpkin: 7
play dough: 7
stuck: N
mine: N
sing: 7
puzzle: 7
cover: 7
much: N
sweater: 7
give: 7
chicken: 7
love: N
bubble: 7
quack quack: 4
good: N
garage: 7
porch: 7
make: 7
yogurt: 7
gentle: N
face: 7
try: 7
see: 7
cheek: 7
tiger: 4
monkey: 4
tummy: 7
watch: 7
moo: 4
chalk: 7
have to: N
soap: 7
sheep: 4
moon: N
balloon: 7
night night: N
lick: 7
don't: N
garbage: 7
sofa: 7
yum yum: N
shake: 7
tuna: 7
wait: 7
hamburger: 7
rocking chair: 7
toothbrush: 7
hand: 7
an: N
tractor: 7
in: N
awake: N
can: 7
eat: 7
person: 4
kiss: 7
ball: 7
cake: 7
truck: 7
cat: 4
doll: 7
hungry: N
need to: N
mop: 7
could: N
cup: 7
sprinkler: 7
muffin: 7
hammer: 7
cold: N
penguin: 4
meow: 4
bye: N
yesterday: N
away: N
nice: N
stroller: 7
moose: 4
fish: 7
trash: 7
clean: N
uncle: 4
toe: 7
and: N
spaghetti: 7
open: 7
ouch: N
sad: N
TV: 7
swing: 7
dirty: N
carry: 7
spill: 7
food: 7
careful: N
all: N
watch: 7
refrigerator: 7
say: 7
meat: 7
game: 7
beside: N
hear: N
if: N
paint: 7
swing: 7
would: N
go: N
vanilla: 7
bath: 7
hose: 7
fine: N
have: N
yucky: N
glove: 7
am: N
thank you: N
help: 7
camping: 7
taste: 7
bring: 7
bench: 7
us: N
sick: N
dump: 7
later: N
lawn mower: 7
play pen: 7
sandwich: 7
happy: N
I: N
lip: 7
owl: 4
first: N
here: N
knife: 7
purse: 7
mitten: 7
write: 7
home: 7
fall: 7
dress: 7
toast: 7
glass: 7
candy: 7
comb: 7
sit: 7
pop: 7
about: N
horse: 4
bucket: 7
block: 7
clock: 7
bowl: 7
your: N
snack: 7
child's own name: N
alligator: 4
that: N
work: 7
leg: 7
medicine: 7
drink: 7
hers: N
poor: N
garden: 7
sled: 7
animal: 4
hate: N
bird: 4
tonight: N
babysitter: 7
tooth: 7
bean: 7
sandbox: 7
store: 7
give me five: 7
yard: 7
show: 7
with: N
scared: N
goose: 4
got to: N
shirt: 7
them: N
these: N
catch: 7
will: N
there: N
mouth: 7
washing machine: 7
kleenex: 7
blue: N
a lot: N
myself: N
for: N
so: N
tear: 7
at: N
was: N
pizza: 7
firetruck: 7
donkey: 4
chocolate: 7
high: N
empty: N
mailman: 7
sidewalk: 7
tissue: 7
old: N
stay: 7
hold: 7
slide: 7
chicken: 4
motorcycle: 7
strawberry: 7
sweep: 7
over: N
vacuum: 7
turtle: 4
pillow: 7
shoe: 7
kitty: 4
sock: 7
juice: 7
kitchen: 7
pony: 4
ladder: 7
crayon: 7
people: 4
bottle: 7
closet: 7
slide: 7
jump: 7
all gone: N
wake: 7
hen: 4
vroom: N
coat: 7
sink: 7
flag: 7
behind: N
oven: 7
to: N
how: N
swim: 7
walk: 7
zipper: 7
shush: N
lamb: 4
belt: 7
cockadoodledoo: 4
big: N
wash: 7
shovel: 7
table: 7
tired: N
cook: 7
drive: 7
raisin: 7
dish: 7
ankle: 7
the: N
broken: N
above: N
ice cream: 7
choo choo: 4
green beans: 7
gotta: N
jacket: 7
arm: 7
sister: 4
high chair: 7
baa baa: 4
after: N
naughty: N
wish: N
hello: N
bump: 7
wet: N
butterfly: 4
sneaker: 7
outside: N
dinner: 7
orange: N
scarf: 7
dry: N
better: N
vitamins: 7
by: N
close: 7
why: N
inside: N
him: N
any: N
stick: 7
walker: 7
gonna: N
skate: 7
party: 7
loud: N
asleep: N
turn around: 7
dry: 7
when: N
does: N
stand: 7
drop: 7
jelly: N
some: N
bottom: N
do: N
tray: 7
every: N
spoon: 7
hafta: N
