knee: 3
pizza: N
paper: N
not: N
crayon: N
dish: N
tuna: N
day: N
street: N
dry: N
good: N
ouch: 4
under: N
slide: N
bug: N
face: 3
cry: 3
gonna get you: N
potty: N
country: N
baa baa: N
firetruck: N
am: N
them: N
cute: N
cheerio: N
swim: N
with: N
playground: N
drink: N
in: N
crib: N
cereal: N
little: N
airplane: N
boy: N
tear: 2
watch: N
ride: N
woof woof: N
if: N
rain: N
broom: N
snowman: N
grass: N
police: N
donkey: N
full: N
arm: 3
nail: N
breakfast: N
orange: N
pool: N
sun: N
over: N
he: N
oven: N
chase: N
pudding: N
nut: N
me: N
say: N
for: N
clean: N
nose: 2
park: N
chin: 2
wet: N
tomorrow: N
orange: N
of: N
meat: N
vroom: N
sweep: N
hat: N
washing machine: N
can: N
today: N
coffee: N
pick: N
car: N
squirrel: N
inside: N
my: N
fish: N
fine: N
which: N
pizza: N
paper: N
not: N
crayon: N
dish: N
tuna: N
day: N
street: N
dry: N
good: N
ouch: 4
under: N
slide: N
bug: N
face: 3
cry: 3
gonna get you: N
potty: N
country: N
baa baa: N
firetruck: N
am: N
them: N
cute: N
cheerio: N
swim: N
with: N
playground: N
drink: N
in: N
crib: N
cereal: N
little: N
airplane: N
boy: N
tear: 2
watch: N
ride: N
woof woof: N
if: N
rain: N
broom: N
snowman: N
grass: N
police: N
donkey: N
full: N
arm: 3
nail: N
breakfast: N
orange (food): N
spill: N
stay: N
gotta: N
lunch: N
couch: N
monkey: N
vitamins: N
glue: N
picture: N
spoon: N
on top of: N
a: N
zoo: N
swing (action): N
shorts: N
she: N
dirty: N
deer: N
diaper: N
black: N
zipper: N
need to: N
jelly: N
fall: N
bathtub: N
chair: N
bus: N
put: N
necklace: N
pencil: N
listen: N
down: N
glass: N
off: N
asleep: 4
soft: N
comb: N
smile: 2
behind: N
about: N
taste: N
dryer: N
hot: N
night: N
old: N
present: N
butter: N
lawn mower: N
bunny: N
rooster: N
belly button: N
glasses: N
take: N
house: N
her: N
bear: N
knife: N
yes: N
find: N
sprinkler: N
boo boo: N
play pen: N
star: N
did: N
moose: N
blue: N
radio: N
napkin: N
potato: N
dog: N
but: N
away: N
school: N
helicopter: N
sandbox: N
shh: N
gentle: N
boots: N
yum yum: N
penny: N
show: N
bird: N
tooth: N
tricycle: N
mine: N
cold: N
vagina: N
grape: N
child: N
does: N
tonight: N
bowl: N
donut: N
meow: N
another: N
coke: N
cover: N
zebra: N
talk: N
by: N
sit: N
bad: N
when: N
toothbrush: N
movie: N
window: N
bed: N
telephone: N
peekaboo: N
cake: N
button: N
stuck: N
myself: N
choo choo: N
bath: N
going to: N
too: N
child's own name: N
break: N
cockadoodledoo: N
carrot: N
walk: 2
back: 3
shower: N
blanket: N
clap: N
shoe: N
stairs: N
yellow: N
salt: N
climb: N
finger: 2
shush: N
blow: N
jar: N
bucket: N
yogurt: N
fit: N
bring: N
underpants: N
outside: N
time: N
bubble: N
cook: N
hate: N
hush: N
light: N
butterfly: N
these: N
at: N
frog: N
TV: N
tissue: N
ball: N
apple: N
gum: N
quiet: N
bread: N
rip: N
mitten: N
carry: N
swing (object): N
an: N
doll: N
high: N
vacuum: N
trash: N
wash: N
pea: N
chocolate: N
scarf: N
some: N
why: N
make: N
gonna: N
mouth: 2
owie: N
paint: N
potato chip: N
empty: N
later: N
call: N
door: N
sled: N
shopping: N
balloon: N
hurt: 3
drawer: N
noisy: N
coat: N
who: N
pajamas: N
lamb: N
plant: N
play dough: N
basement: N
sister: N
chicken (animal): N
party: N
shovel: N
would: N
better: N
clock: N
animal: N
lemme: N
it: N
broken: N
snowsuit: N
living room: N
pretty: N
slide (action): N
garbage: N
brush: N
fish (animal): N
tights: N
pretend: N
got to: N
pop: N
skate: N
bedroom: N
stroller: N
each: N
box: N
are: N
any: N
slipper: N
turn around: N
shirt: N
