Here are the ratings for smelling:

plant: 5
fireman: N
ball: N
cockadoodledoo: N
school: N
comb: N
some: N
soup: N
table: N
picture: N
fish (animal): N
going to: N
gum: N
swim: N
let me: N
wet: N
sleepy: N
sneaker: N
away: N
sister: N
necklace: N
baby: N
breakfast: N
stuck: N
around: N
they: N
hurt: N
ear: N
potato chip: 4
kiss: N
me: N
towel: N
hear: N
go potty: N
not: N
bad: N
did: N
back: N
she: N
trash: N
lamp: N
pizza: 4
hen: N
applesauce: 4
dance: N
TV: N
pony: N
clown: N
store: N
helicopter: N
need: N
lip: N
finish: N
snack: N
garden: N
book: N
shopping: N
this: N
hers: N
mine: N
bucket: N
tomorrow: N
drive: N
pretzel: 4
bottle: N
my: N
it: N
another: N
medicine: N
tricycle: N
deer: N
gonna get you: N
brush: N
pancake: 4
babysitter's name: N
french fries: 4
jeans: N
tooth: N
help: N
high chair: N
their: N
sticky: N
gentle: N
stairs: N
shake: N
church: N
lollipop: 4
better: N
hammer: N
kick: N
ice cream: 4
ride: N
dog: N
food: N
toast: N
vitamins: N
happy: N
push: N
pudding: 4
basement: N
wind: N
on: N
soap: N
listen: N
clap: N
bunny: N
country: N
flower: N
crib: N
glass: N
candy: 4
cold: N
potty: N
sofa: N
the: N
jump: N
arm: N
police: N
up: N
so: N
kitchen: N
are: N
zipper: N
goose: N
pen: N
sandbox: N
yum yum: N
pig: N
toy: N
lamb: N
bus: N
owl: N
clean (action): N
white: N
vagina: N
strawberry: 4
these: N
melon: 4
today: N
cheese: 4
bye: N
pea: 4
cow: N
who: N
soft: N
pet's name: N
brown: N
hello: N
nose: N
people: N
slow: N
about: N
night night: N
washing machine: N
tray: N
where: N
knee: N
carrot: 4
will: N
pajamas: N
him: N
rock: N
tired: N
teacher: N
glasses: N
sandwich: 4
tights: N
peanut butter: 4
sheep: N
beach: N
penis: N
puzzle: N
yucky: N
above: N
turn around: N
bread: 4
play dough: N
fit: N
jelly: 4
window: N
boat: N
tree: N
vacuum: N
gonna: N
hug: N
penguin: N
beside: N
no: N
outside: N
garage: N
taste: N
sad: N
wolf: N
be: N
orange (food): 4
elephant: N
ankle: N
pretend: N
blue: N
vanilla: 4
plate: N
noisy: N
old: N
an: N
bench: N
stove: N
dry (action): N
spaghetti: 4
do: N
snowsuit: N
chicken (food): 4
lick: N
fix: N
hamburger: 4
block: N
long: N
hush: N
shorts: N
apple: 4
scared: N
take: N
sprinkler: N
thank you: N
you: N
sing: N
balloon: N
we: N
oven: N
vroom: N
girl: N
finger: N
out: N
tiny: N
shush: N
