Here are the ratings for smelling:

banana: 4
wish: N
tongue: N
soup: 2
wolf: 0
lip: N
potato chip: 2
hair: N
walk: N
penis: N
please: N
couch: N
awake: N
shush: N
above: N
foot: N
train: N
street: N
hers: N
turtle: 0
does: N
our: N
him: N
sock: N
after: N
ice cream: 2
elephant: 0
about: N
hafta: N
much: N
walker: N
cookie: 2
butterfly: 0
potato: 2
food: N
close: N
soap: N
flag: N
outside: N
bead: N
grape: 2
stove: N
yourself: N
clean (action): N
a: N
potty: N
your: N
dish: N
quack quack: N
in: N
dry (description): N
sit: N
back: N
mitten: N
sleep: N
wake: N
button: N
say: N
I: N
are: N
deer: 0
monkey: 0
will: N
bite: N
rip: N
make: N
tuna: 2
owl: 0
candy: 2
picnic: N
this: N
heavy: N
cow: 0
mouth: N
shoe: N
chocolate: 2
tree: N
into: N
sidewalk: N
star: N
cup: N
pet's name: N
chin: N
up: N
sister: N
crayon: N
pillow: N
hush: N
book: N
pop: N
under: N
stay: N
each: N
first: N
country: N
poor: N
clean (description): N
moo: 0
work (action): N
snow: N
ball: N
ant: 1
game: N
owie: N
baby: N
was: N
any: N
want to: N
need: N
turn around: N
sleepy: N
backyard: N
bat: N
play: N
cockadoodledoo: N
dog: 0
shovel: N
brush: N
when: N
jeans: N
hear: N
so big: N
snowsuit: N
scissors: N
gas station: N
if: N
tear: N
little: N
can (auxiliary): N
sandbox: N
squirrel: 0
lemme: N
asleep: N
zebra: 0
hide: N
medicine: N
gum: N
blue: N
downtown: N
face: N
wait: N
vanilla: 2
sweater: N
here: N
yogurt: 2
tray: N
hot: N
break: N
naughty: N
slipper: N
fish (animal): 0
noodle: N
paint: N
balloon: N
soda: N
windy: N
around: N
tomorrow: N
broom: N
sofa: N
this little piggy: N
key: N
head: N
chair: N
time: N
bird: 0
dry (action): N
duck: 0
that: N
oven: N
jelly: 2
cowboy: N
hammer: N
bye: N
swing (object): N
pajamas: N
spaghetti: N
sink: N
box: N
splash: N
be: N
day: N
see: N
shake: N
donut: 2
boy: N
kick: N
over: N
cake: N
watch (object): N
penguin: 0
glove: N
at: N
pants: N
towel: N
bottom: N
bean: N
we: N
roof: N
kitty: 0
behind: N
hit: N
fast: N
away: N
knock: N
crib: N
daddy: N
to: N
by: N
jello: 2
dress: N
long: N
were: N
fix: N
ouch: N
his: N
rock: N
take: N
tired: N
window: N
shorts: N
did ya: N
these: N
chicken (food): 2
jar: N
bedroom: N
snack: N
people: N
tonight: N
hi: N
you: N
she: N
bucket: N
for: N
then: N
clown: N
bring: N
big: N
show: N
cheese: 2
ear: N
uncle: N
home: N
pool: N
basement: N
sauce: N
but: N
last: N
buttocks: N
room: N
carry: N
they: N
eat: N
yum yum: N
later: N
call: N
broken: N
underpants: N
new: N
go potty: N
nut: N
mine: N
stand: N
boat: N
hurry: N
nap: N
hen: N
nail: N
all: N
refrigerator: N
bubble: N
write: N
lady: N
plant: N
bread: N
butter: 2
basket: N
party: N
tickle: N
porch: N
belt: N
lawn mower: N
hate: N
vacuum: N
story: N
eye: N
moose: 0
french fries: 2
read: N
try: N
pull: N
tiny: N
dance: N
tissue: N
sky: N
meow: N
those: N
corn: 2
yucky: N
light: N
hat: N
cracker: N
store: N
picture: N
he: N
belly button: N
feed: N
gentle: N
toothbrush: N
catch: N
drop: N
bathtub: N
tummy: N
aunt: N
so: N
climb: N
more: N
hungry: N
who: N
play dough: N
wash: N
with: N
nice: N
apple: 2
stroller: N
door: N
high chair: N
beside: N
water (beverage): N
old: N
clap: N
dark: N
pony: N
peekaboo: N
clock: N
pumpkin: N
babysitter's name: N
fireman: N
pizza: 2
bathroom: N
play pen: N
glue: N
because: N
hamburger: 2
night: N
need to: N
give me five: N
every: N
arm: N
scared: N
friend: N
lamb: 0
playground: N
another: N
drink (action): N
toast: N
vroom: N
puppy: 0
carrot: N
of: N
let me: N
quiet: N
grass: N
TV: N
cover: N
snowman: N
drive: N
meat: N
there: N
now: N
grandpa: N
park: N
popsicle: 2
them: N
child's own name: N
is: N
on: N
uh oh: N
cheerio: N
would: N
babysitter: N
black: N
don't: N
cat: 0
stop: N
wanna: N
bump: N
spill: N
throw: N
rooster: 0
man: N
flower: N
teddybear: N
talk: N
fork: N
can (object): N
the: N
kleenex: N
nose: N
white: N
going to: N
sled: N
purse: N
hug: N
boo boo: N
today: N
baa baa: N
mad: N
cheek: N
buy: N
strawberry: 2
donkey: 0
push: N
car: N
church: N
dump: N
smile: N
pig: 0
happy: N
sweep: N
camera: N
have to: N
a lot: N
why: N
swing (action): N
muffin: 2
off: N
helicopter: N
pencil: N
beach: N
lunch: N
got to: N
bicycle: N
bunny: 0
gotta: N
toy: N
stick: N
horse: 0
pretzel: 2
myself: N
watch (action): N
loud: N
soft: N
cereal: N
present: N
kiss: N
skate: N
nurse: N
me: N
none: N
blow: N
shh: N
not: N
drawer: N
bad: N
try to: N
go: N
other: N
wet: N
tooth: N
sun: N
pickle: 2
tiger: 0
napkin: N
yellow: N
their: N
listen: N
giraffe: 0
lollipop: 2
blanket: N
brother: N
open: N
moon: N
applesauce: 2
camping: N
wind: N
trash: N
morning: N
orange (description): N
sad: N
girl: N
turkey: 2
coke: N
hand: N
on top of: N
milk: N
build: N
stairs: N
sheep: 0
my: N
which: N
give: N
and: N
bed: N
grandma: N
chalk: N
run: N
hose: N
hurt: N
it: N
touch: N
green: N
necklace: N
