Here are my ratings for how much I experience everyday concepts using actions from my hand/arm:

paint: 4
toothbrush: 2
ant: 0
doll: 0
big: 0
church: 0
empty: 0
nail: 0
next to: N
spoon: 0
each: N
peekaboo: 2
much: N
chicken (food): 0
lemme: N
dog: 0
are: N
high: 0
day: 0
bear: 0
store: 0
call: 0
were: N
high chair: 0
bottle: 0
sauce: 0
me: N
dump: 0
boots: 0
new: 0
ice cream: 0
basement: 0
closet: 0
roof: 0
applesauce: 0
living room: 0
grape: 0
mine: N
mailman: 0
bug: 0
ouch: 0
refrigerator: 0
meow: 0
sled: 0
mouse: 0
bump: 0
basket: 0
hush: 0
blanket: 0
baby: 0
boat: 0
pool: 0
puppy: 0
bathroom: 0
better: 0
sheep: 0
stroller: 0
scissors: 0
dinner: 0
doctor: 0
airplane: 0
wash: 0
so big: 0
play pen: 0
cheese: 0
wanna: N
motorcycle: 0
like: 0
hit: 0
spaghetti: 0
a: N
pizza: 0
cookie: 0
head: 0
deer: 0
couch: 0
why: N
say: 0
have: N
turn around: 2
knife: 0
did ya: N
popcorn: 0
door: 0
party: 0
chin: 0
finger: 0
salt: 0
lawn mower: 0
before: N
kitchen: 0
tiny: 0
orange (food): 0
coat: 0
melon: 0
beach: 0
necklace: 0
heavy: 0
chocolate: 0
sky: 0
coke: 0
cracker: 0
you: N
none: N
money: 0
draw: 0
sister: 0
these: N
shake: 2
hear: 0
thirsty: 0
rooster: 0
kiss: 0
sticky: 0
pancake: 0
crib: 0
by: N
morning: 0
knock: 0
catch: 0
wake: 0
on: N
hamburger: 0
choo choo: 0
hand: 5
find: 2
helicopter: 0
pillow: 0
jump: 0
kitty: 0
shh: 0
girl: 0
story: 0
table: 0
pretend: 0
farm: 0
tongue: 0
potty: 0
camping: 0
washing machine: 0
cake: 0
friend: 0
vitamins: 0
play dough: 0
apple: 0
tired: 0
raisin: 0
hug: 0
tray: 0
walk: 0
mommy: 0
gonna get you: 0
tiger: 0
uncle: 0
moose: 0
comb: 0
breakfast: 0
can (object): 0
puzzle: 0
sad: 0
rock: 0
key: 0
horse: 0
plate: 0
mouth: 0
did: N
slide (action): 2
feed: 0
down: 0
show: 0
sprinkler: 0
dress: 0
lamb: 0
read: 0
hello: 0
up: 0
of: N
little: 0
tuna: 0
pig: 0
grass: 0
shirt: 0
knee: 0
pop: 0
playground: 0
toe: 0
look: 0
grandpa: 0
blow: 0
nose: 0
pumpkin: 0
glue: 0
snow: 0
inside: 0
for: N
us: N
cereal: 0
vacuum: 0
pattycake: 0
push: 2
picture: 0
elephant: 0
lamp: 0
chair: 0
who: N
cheerio: 0
firetruck: 0
foot: 0
alligator: 0
now: N
stairs: 0
yesterday: 0
got to: N
cat: 0
time: 0
hi: N
which: N
shoe: 0
monkey: 0
first: 0
chase: 0
dryer: 0
so: N
cowboy: 0
babysitter's name: 0
do: N
naughty: 0
sit: 0
good: 0
purse: 0
yard: 0
tomorrow: 0
people: 0
downtown: 0
candy: 0
nap: 0
I: N
moon: 0
broken: 0
have to: N
nice: 0
popsicle: 0
pea: 0
bat: 0
aunt: 0
buttocks: 0
daddy: 0
fine: 0
tear: 0
room: 0
gentle: 0
mitten: 0
stop: 0
woods: 0
broom: 0
food: 0
potato: 0
bee: 0
sleep: 0
hot: 0
long: 0
dirty: 0
bread: 0
can (auxiliary): N
am: N
cover: 0
let me: N
him: N
coffee: 0
at: N
hers: N
shoulder: 0
flag: 0
sneaker: 0
wind: 0
bird: 0
all: N
circus: 0
dry (action): 2
butterfly: 0
rain: 0
child's own name: 0
bed: 0
will: N
bite: 0
shush: 0
owl: 0
brother: 0
does: N
same: 0
potato chip: 0
lip: 0
is: N
ball: 0
dish: 0
how: N
soft: 0
stand: 0
backyard: 0
your: N
sink: 0
nut: 0
person: 0
above: N
zipper: 0
need: N
in: N
go potty: 0
yes: N
belly button: 0
she: N
pickle: 0
fast: 0
snowsuit: 0
full: 0
yourself: N
house: 0
medicine: 0
movie: 0
swing (action): 2
red: 0
bunny: 0
carry: 2
try: 2
tickle: 0
squirrel: 0
be: N
the: N
to: N
bring: 2
tree: 0
under: N
listen: 0
what: N
ice: 0
strawberry: 0
around: N
radio: 0
bucket: 0
french fries: 0
pretty: 0
lion: 0
nurse: 0
jello: 0
light: 0
stuck: 0
cow: 0
walker: 0
sidewalk: 0
bye: 0
dance: 0
some: N
tooth: 0
sandwich: 0
pencil: 0
out: N
lollipop: 0
open: 2
wait: 0
donkey: 0
wish: 0
thank you: 0
their: N
cute: 0
over: N
street: 0
hate: 0
camera: 0
outside: 0
flower: 0
scared: 0
more: N
shower: 0
chicken (animal): 0
glasses: 0
cockadoodledoo: 0
kick: 0
quiet: 0
fish (animal): 0
watch (action): 0
play: 0
moo: 0
tonight: 0
rocking chair: 0
goose: 0
drive: 0
it: N
belt: 0
then: N
dry (description): 0
every: N
watch (object): 0
garden: 0
write: 0
share: 0
sleepy: 0
beside: N
woof woof: 0
quack quack: 0
tummy: 0
bath: 0
cook: 0
window: 0
teddybear: 0
lick: 0
turtle: 0
shovel: 0
star: 0
taste: 0
please: 0
work (action): 0
jelly: 0
need to: N
snack: 0
if: N
green: 0
toy: 0
scarf: 0
duck: 0
blue: 0
throw: 2
her: N
tissue: 0
sick: 0
away: N
peanut butter: 0
yucky: 0
muffin: 0
vroom: 0
game: 0
noisy: 0
swim: 0
into: N
my: N
zebra: 0
no: N
child: 0
talk: 0
after: N
tape: 0
hurry: 0
jacket: 0
awake: 0
bedroom: 0
turkey: 0
drink (beverage): 0
car: 0
spill: 0
those: N
not: N
wipe: 2
underpants: 0
try to: N
run: 0
leg: 0
was: N
porch: 0
gas station: 0
an: N
eye: 0
hurt: 0
cup: 0
gum: 0
vanilla: 0
pull: 2
cheek: 0
book: 0
penny: 0
soda: 0
white: 0
trash: 0
carrot: 0
about: N
police: 0
pet's name: 0
cold: 0
climb: 0
touch: 0
a lot: N
diaper: 0
fall: 0
plant: 0
cry: 0
work (place): 0
water (not beverage): 0
wet: 0
other: N
frog: 0
teacher: 0
want to: N
bicycle: 0
take: 2
black: 0
drop: 2
toast: 0
hungry: 0
ankle: 0
baa baa: 0
night night: 0
yellow: 0
noodle: 0
cloud: 0
pony: 0
but: N
snowman: 0
where: N
fish (food): 0
bus: 0
shopping: 0
pick: 2
we: N
grandma: 0
hide: 0
shorts: 0
meat: 0
