Here are the ratings for seeing:

knee: 4
dirty: N
deer: 2
diaper: 2
black: 2
zipper: N
need to: N
jelly: 2
fall: N
bathtub: 2
chair: 2
bus: 2
put: N
necklace: 2
pencil: 2
listen: N
down: N
glass: 2
off: N
asleep: N
soft: N
comb: 2
smile: 2
behind: N
about: N
taste: N
dryer: 2
hot: N
night: N
old: N
present: 2
butter: 2
lawn mower: 2
bunny: 2
rooster: 2
belly button: 2
glasses: 2
take: N
house: 2
her: N
bear: 2
knife: 2
yes: N
find: N
sprinkler: 2
boo boo: N
play pen: 2
star: 2
did: N
moose: 2
blue: 2
radio: 2
napkin: 2
potato: 2
dog: 2
but: N
away: N
school: 2
helicopter: 2
sandbox: 2
shh: N
gentle: N
boots: 2
yum yum: N
penny: 2
show: N
bird: 2
tooth: 2
tricycle: 2
mine: N
cold: N
vagina: N
grape: 2
child: 2
does: N
tonight: N
bowl: 2
donut: 2
meow: N
another: N
coke: 2
cover: N
zebra: 2
talk: N
by: N
sit: N
bad: N
when: N
toothbrush: 2
movie: 2
window: 2
bed: 2
telephone: 2
peekaboo: N
cake: 2
button: 2
stuck: N
myself: N
choo choo: N
bath: 2
going to: N
too: N
child's own name: N
break: N
cockadoodledoo: N
carrot: 2
walk: N
back: N
shower: 2
blanket: 2
clap: N
shoe: 2
stairs: 2
yellow: 2
salt: 2
climb: N
finger: 2
shush: N
blow: N
jar: 2
bucket: 2
yogurt: 2
fit: N
bring: N
underpants: 2
outside: N
time: N
bubble: N
cook: N
hate: N
hush: N
light: 2
butterfly: 2
these: N
at: N
frog: 2
TV: 2
tissue: 2
ball: 2
apple: 2
gum: 2
quiet: N
bread: 2
rip: N
mitten: 2
carry: N
swing (object): N
an: N
doll: 2
high: N
vacuum: 2
trash: 2
wash: N
pea: 2
chocolate: 2
scarf: 2
some: N
why: N
make: N
gonna: N
mouth: N
owie: N
paint: N
potato chip: 2
empty: N
later: N
call: N
door: 2
sled: 2
shopping: 2
balloon: 2
hurt: N
drawer: 2
noisy: N
coat: 2
who: N
pajamas: 2
lamb: 2
plant: 2
play dough: 2
basement: 2
sister: 2
chicken (animal): 2
party: 2
shovel: 2
would: N
better: N
clock: 2
animal: 2
lemme: N
it: N
broken: N
snowsuit: 2
living room: 2
pretty: N
slide (action): N
garbage: 2
brush: 2
fish (animal): 2
tights: 2
pretend: N
got to: N
pop: N
skate: N
bedroom: 2
stroller: 2
each: N
box: 2
are: N
any: N
slipper: 2
turn around: N
shirt: 2
home: N
goose: 2
giraffe: 2
money: 2
uncle: 2
this little piggy: N
catch: N
dance: N
pattycake: N
hafta: N
sad: N
bench: 2
ant: 2
candy: 2
happy: N
please: N
game: N
how: N
night night: N
ankle: 2
like: N
give me five: N
throw: N
eye: 2
here: N
man: 2
popsicle: 2
purse: 2
high chair: 2
spaghetti: 2
cracker: 2
cloud: 2
beach: 2
mad: N
food: N
moo: 2
sauce: 2
cookie: 2
basket: 2
kiss: N
owl: 2
lady: 2
same: N
bye: N
towel: 2
soup: 2
all: N
toy: 2
nice: N
fix: N
tractor: 2
toe: 2
pony: 2
duck: 2
pen: 2
hear: N
green beans: 2
shoulder: 2
dry (description): N
was: N
next to: N
clean (action): N
uh oh: N
book: 2
bite: N
jello: 2
tongue: N
