Here are the body-object interaction ratings:

at: 5
stone: 4
ankle: 2
that: N
our: N
swing (action): 6
play pen: 6
butterfly: 4
pants: 4
blow: 6
an: N
after: N
sneaker: 4
circus: N
leg: 2
share: 6
him: N
chair: 6
tickle: 6
pea: 4
picnic: 6
my: N
tear: 2
now: N
foot: 2
pumpkin: 4
cry: N
slide (action): 6
vitamins: N
for: N
woof woof: N
crib: 4
cereal: 4
basket: 4
going to: N
later: N
quiet: N
are: N
hot: N
none: N
home: N
chalk: 4
doll: 4
bed: 6
toast: 4
need to: N
clean (description): 3
the: N
shake: 6
yellow: N
push: 6
toothbrush: 4
person: N
tree: 4
vanilla: 4
moon: N
eye: 2
mine: N
babysitter: N
plant: N
apple: 4
out: N
dance: 6
stove: 4
jeans: 4
they: N
same: N
bead: 4
doctor: N
gonna get you: N
porch: 6
noodle: 4
chicken (animal): 4
behind: 2
refrigerator: 6
show: 6
child's own name: N
dog: 4
head: 2
stroller: 6
bear: 4
run: 6
garden: 6
here: N
park: 6
donkey: 4
myself: N
pig: 4
wash: 6
cold: N
hafta: N
wet: N
open: N
night night: N
bat: 4
nice: N
pick: 6
under: 2
fix: 6
on: N
am: N
bedroom: 6
vagina: N
stick: 4
careful: N
snowman: 4
hurt: N
sun: N
quack quack: N
shopping: N
raisin: 4
toy: 4
spill: 6
all gone: N
broom: 4
hers: N
white: N
turn around: N
try: N
think: N
tissue: 4
see: N
