Here are the ratings for the torso:

knee: 3
back: N
shower: N
blanket: N
clap: N
shoe: N
stairs: N
yellow: N
salt: N
climb: N
finger: N
shush: N
blow: N
jar: N
bucket: N
yogurt: N
fit: N
bring: N
underpants: N
outside: N
time: N
bubble: N
cook: N
hate: N
hush: N
light: N
butterfly: N
these: N
at: N
frog: N
TV: N
tissue: N
ball: N
apple: N
gum: N
quiet: N
bread: N
rip: N
mitten: N
carry: N
swing (object): N
an: N
doll: N
high: N
vacuum: N
trash: N
wash: N
pea: N
chocolate: N
scarf: N
some: N
why: N
make: N
gonna: N
mouth: N
owie: N
paint: N
potato chip: N
empty: N
later: N
call: N
door: N
sled: N
shopping: N
balloon: N
hurt: N
drawer: N
noisy: N
coat: N
who: N
pajamas: N
lamb: N
plant: N
play dough: N
basement: N
sister: N
chicken (animal): N
party: N
shovel: N
would: N
better: N
clock: N
animal: N
lemme: N
it: N
broken: N
snowsuit: N
living room: N
pretty: N
slide (action): N
garbage: N
brush: N
fish (animal): N
tights: N
pretend: N
got to: N
pop: N
skate: N
bedroom: N
stroller: N
each: N
box: N
are: N
any: N
slipper: N
turn around: N
shirt: N
home: N
goose: N
giraffe: N
money: N
uncle: N
this little piggy: N
catch: N
dance: N
pattycake: N
hafta: N
sad: N
bench: N
ant: N
candy: N
happy: N
please: N
game: N
how: N
night night: N
ankle: N
like: N
give me five: N
throw: N
eye: N
here: N
man: N
popsicle: N
purse: N
high chair: N
spaghetti: N
cracker: N
cloud: N
beach: N
mad: N
food: N
moo: N
sauce: N
cookie: N
basket: N
kiss: N
owl: N
lady: N
same: N
bye: N
towel: N
soup: N
all: N
toy: N
nice: N
fix: N
tractor: N
toe: N
pony: N
duck: N
pen: N
hear: N
green beans: N
shoulder: N
dry (description): N
was: N
next to: N
clean (action): N
uh oh: N
book: N
bite: N
jello: N
tongue: N

Note: I rated most of the words as "N" since they are not related to the torso.
