Here are the ratings for tasting:

at: 0
sandbox: N
lawn mower: N
eat: N
hand: N
grrr: N
then: N
vroom: N
fit: N
this little piggy: N
table: N
noisy: N
sweater: N
shh: N
red: N
soap: N
did: N
gonna: N
is: N
so: N
make: N
knee: N
mouse: N
throw: N
this: N
bath: N
moo: N
garage: N
those: N
sister: N
help: N
monkey: N
old: N
their: N
high chair: N
kleenex: N
sticky: N
dress: N
tricycle: N
milk: N
moose: N
meow: N
hen: N
watch (action): N
chicken (food): N
will: N
mop: N
slide (object): N
clown: N
oven: N
sofa: N
nap: N
clap: N
buttocks: N
dinner: N
off: N
basement: N
paint: N
mouth: N
don't: N
game: N
write: N
penguin: N
pizza: 5
baby: N
windy: N
tape: N
ride: N
bye: N
movie: N
finger: N
hit: N
child: N
clean (action): N
dry (description): N
lunch: N
give: N
bib: N
stop: N
walk: N
need: N
fast: N
coke: N
turtle: N
mad: N
playground: N
work (place): N
cheerio: N
go potty: N
orange (food): 5
snowsuit: N
food: N
dark: N
get: N
around: N
touch: N
salt: N
stuck: N
ouch: N
closet: N
scared: N
nail: N
cover: N
bus: N
lamp: N
can (auxiliary): N
before: N
penis: N
rip: N
shower: N
on top of: N
cockadoodledoo: N
cowboy: N
bucket: N
rooster: N
lemme: N
garbage: N
bug: N
necklace: N
yesterday: N
washing machine: N
wish: N
he: N
fine: N
country: N
room: N
every: N
hungry: N
dirty: N
were: N
cake: N
bowl: N
walker: N
party: N
window: N
each: N
donut: N
hamburger: N
today: N
let me: N
day: N
lamb: N
lick: N
stay: N
shoulder: N
plate: N
comb: N
radio: N
feed: N
pour: N
better: N
brother: N
spoon: N
meat: N
what: N
hat: N
she: N
tired: N
night: N
paper: N
present: N
where: N
flag: N
it: N
balloon: N
find: N
snack: N
cheese: 5
climb: N
a lot: N
girl: N
frog: N
school: N
who: N
nut: N
her: N
choo choo: N
tiny: N
duck: N
banana: N
shovel: N
book: N
arm: N
scarf: N
up: N
pretty: N
gentle: N
hold: N
bread: N
pretend: N
pet's name: N
us: N
muffin: N
would: N
star: N
breakfast: N
alligator: N
we: N
pull: N
hush: N
brown: N
high: N
napkin: N
gum: N
sick: N
sidewalk: N
chase: N
sandwich: N
play: N
ant: N
do: N
zebra: N
tummy: N
yard: N
peanut butter: 5
give me five: N
shorts: N
orange (description): N
face: N
door: N
carry: N
happy: N
melon: N
pretzel: N
with: N
turkey: N
clock: N
grape: N
bench: N
bad: N
dryer: N
woods: N
tray: N
zipper: N
cracker: N
ladder: N
kiss: N
shush: N
green: N
penny: N
key: N
water (beverage): N
church: N
toe: N
cute: N
cloud: N
tuna: N
belt: N
glove: N
mitten: N
which: N
tongue: N
chin: N
swing (object): N
beach: N
soda: N
blue: N
glass: N
brush: N
hair: N
owie: N
grass: N
me: N
down: N
new: N
heavy: N
glue: N
pattycake: N
thirsty: N
slipper: N
into: N
candy: N
jar: N
other: N
potty: N
last: N
bring: N
good: N
hammer: N
chocolate: 5
TV: N
by: N
jump: N
nurse: N
could: N
wolf: N
glasses: N
please: N
was: N
want to: N
yogurt: N
telephone: N
kitchen: N
wipe: N
but: N
sleep: N
boots: N
drawer: N
pony: N
green beans: N
deer: N
blanket: N
pajamas: N
goose: N
fish (food): N
potato chip: N
farm: N
cup: N
elephant: N
stairs: N
airplane: N
about: N
inside: N
squirrel: N
pop: N
smile: N
sled: N
close: N
hi: N
away: N
water (not beverage): N
look: N
medicine: N
put: N
dump: N
why: N
pool: N
above: N
can (object): N
your: N
flower: N
cat: N
drink (action): N
camping: N
lip: N
listen: N
potato: N
little: N
bottle: N
wanna: N
not: N
a: N
awake: N
because: N
knife: N
bump: N
stone: N
ankle: N
that: N
our: N
swing (action): N
play pen: N
butterfly: N
pants: N
blow: N
an: N
after: N
sneaker: N
circus: N
leg: N
share: N
him: N
chair: N
tickle: N
pea: N
picnic: N
my: N
tear: N
now: N
foot: N
pumpkin: N
cry: N
slide (action): N
vitamins: N
for: N
woof woof: N
crib: N
cereal: N
basket: N
going to: N
later: N
quiet: N
are: N
hot: N
none: N
home: N
chalk: N
doll: N
bed: N
toast: N
need to: N
clean (description): N
the: N
shake: N
yellow: N
push: N
toothbrush: N
person: N
tree: N
vanilla: N
moon: N
eye: N
mine: N
babysitter: N
plant: N
apple: N
out: N
dance: N
stove: N
jeans: N
they: N
same: N
bead: N
doctor: N
gonna get you: N
porch: N
noodle: N
chicken (animal): N
behind: N
refrigerator: N
show: N
child's own name: N
dog: N
head: N
stroller: N
bear: N
run: N
garden: N
here: N
park: N
donkey: N
myself: N
pig: N
wash: N
cold: N
hafta: N
wet: N
open: N
night night: N
bat: N
nice: N
pick: N
under: N
fix: N
on: N
am: N
bedroom: N
vagina: N
stick: N
careful: N
snowman: N
hurt: N
sun: N
quack quack: N
shopping: N
raisin: N
toy: N
spill: N
all gone: N
broom: N
hers: N
white: N
turn around: N
try: N
think: N
tissue: N
see: N
