seq1,seq2,item_id,category1,category2,item_definition,uni_lemma,word_1,word_2,word_3,word_for_llm,irregular,note,AoA,concreteness,iconicity,childBOI,adultBOI,Auditory,Gustatory,Haptic,Interoceptive,Olfactory,Visual,Foot_leg,Hand_arm,Head,Mouth,Torso,phoneme,socialness,semD,valence,arousal,valence2,arousal2,dominance,imageability,babiness,frequency,mlu,contextD,word_used,prop50.1,prop50.2,prop50.3,prop50.4,prop50.5,prop40.1,prop40.2,prop40.3,prop40.4,prop40.5,prop30.1,prop30.2,prop30.3,prop30.4,prop30.5,prop20.1,prop20.2,prop20.3,prop20.4,prop20.5,prop10.1,prop10.2,prop10.3,prop10.4,prop10.5
51,52,item_52,animals,nouns,turkey,turkey,turkey,,,turkey,FALSE,,28,4.89,4.8,5.2,4.833333333,2.157894737,4.052631579,2.631578947,1,3,4.105263158,0.105263158,1.263157895,1.789473684,2.473684211,0.789473684,4,,1.549983086,5.9,3.45,4.1,6.55,5.59,,2.636363636,1861.272093,5.467625899,215,turkey,training,test,training,test,training,test,training,test,training,test,training,test,test,training,test,test,test,test,test,test,test,test,training,test,test
52,53,item_53,animals,nouns,turtle,turtle,turtle,,,turtle,FALSE,,23,5,4.090909091,4.64,4.821428571,0.555555556,0.277777778,1.944444444,0.111111111,0.5,4.277777778,0.789473684,1.631578947,1.684210526,0.263157895,0.315789474,5,,1.573925081,6.16,2.52,3.84,7.48,5.82,,2.083333333,2134.394111,5.489096573,251,turtle,test,test,training,training,test,training,training,training,training,training,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
53,54,item_54,animals,nouns,wolf,wolf,wolf,,,wolf,FALSE,,29,4.79,3.6,2.96,3.391304348,2.722222222,0.555555556,1.777777778,0.388888889,0.722222222,4.111111111,0.545454545,0.954545455,3.045454545,1.090909091,0.363636364,4,,1.684266172,6.26,5.25,3.74,4.75,4.59,6.7,1.181818182,1133.761299,6.603960396,153,wolf,test,test,training,training,test,test,training,training,test,test,test,training,test,training,training,test,training,test,test,test,test,test,training,test,test
54,55,item_55,animals,nouns,zebra,zebra,zebra,,,zebra,FALSE,,26,4.86,4.2,3.88,4,1.944444444,0.111111111,1.944444444,0.055555556,1.277777778,4,0.666666667,1.142857143,2.619047619,0.571428571,0.571428571,5,1.714285714,1.320097156,6.47,3.9,3.53,6.1,5.26,,1.727272727,2647.972675,5.147919877,308,zebra,training,test,training,test,test,training,test,test,test,test,test,test,training,test,training,test,test,test,training,training,test,test,test,test,test
57,58,item_58,vehicles,nouns,boat,boat,boat,,,boat,FALSE,,22,4.93,4,5.696969697,5.130434783,1.894736842,0.263157895,2.157894737,0.421052632,0.631578947,3.631578947,1.428571429,2,1.904761905,0.19047619,1.428571429,3,,1.363942891,6.36,4.05,3.64,5.95,5.59,6.7,1.363636364,1845.523926,6.864142539,347,boat,test,training,test,training,training,training,training,test,training,test,training,training,test,training,test,test,test,test,test,test,test,test,training,test,test
58,59,item_59,vehicles,nouns,bus,bus,bus,,,bus,FALSE,,22,4.9,3.25,4.9375,5.192307692,3.263157895,0,1.368421053,0.210526316,0.421052632,4.263157895,2.45,2.6,2.45,0.8,1.8,3,5.35,1.638072293,5.12,3.83,4.88,6.17,4.88,6.8,2.285714286,2116.849466,7.420470263,342,bus,test,training,training,training,test,test,test,test,test,test,training,test,test,training,training,training,test,test,test,training,test,test,test,test,training
59,60,item_60,vehicles,nouns,car,car,car,,,car,FALSE,,18,4.89,3.1,6.52,6.035714286,3.388888889,0,2.777777778,0.444444444,1.5,4.388888889,3,3.684210526,3.473684211,0.421052632,1.894736842,3,2.913043478,1.687711752,6.63,4.04,3.37,5.96,6.41,6.9,2.083333333,3190.885875,6.861901198,934,car,test,training,training,test,training,test,training,test,test,test,training,test,training,training,test,test,test,test,test,test,test,test,test,test,test
63,64,item_64,vehicles,nouns,sled,sled,sled,,,sled,FALSE,,,5,3.9,6.291666667,6.086956522,0.428571429,0,1.952380952,0.619047619,0,3.904761905,3,3.944444444,3.611111111,0.388888889,2.333333333,4,,,6.35,3.25,3.65,6.75,5.6,6.6,1.545454545,3337.560971,6.764705882,68,sled,test,training,test,training,test,test,training,test,test,test,test,test,test,test,training,test,test,test,test,training,test,test,test,test,training
64,65,item_65,vehicles,nouns,stroller,stroller,stroller,,,stroller,FALSE,,25,4.96,4.230769231,6,6.5,1.736842105,0,2.842105263,0,0.263157895,4.052631579,2,3.263157895,2.368421053,0.052631579,1.789473684,6,3.454545455,,5.75,3.22,4.25,6.78,5.68,,8.538461538,1255.281085,9.282208589,170,stroller,test,test,test,test,test,test,test,test,test,test,test,test,training,training,test,training,test,test,test,test,test,test,test,test,test
65,66,item_66,vehicles,nouns,tractor,tractor,tractor,,,tractor,FALSE,,26,5,2.636363636,4.347826087,5.590909091,3.4,0.266666667,2.4,0.266666667,0.333333333,4.2,2.368421053,2.736842105,2.473684211,0.684210526,1.473684211,6,,1.439265237,5.05,3.73,4.95,6.27,5.75,,1.294117647,2026.285809,5.847272727,227,tractor,test,test,test,training,training,training,test,test,test,training,training,training,test,test,test,training,test,test,test,test,test,test,test,test,test
66,67,item_67,vehicles,nouns,train,train,train,,,train,FALSE,,22,4.79,2.3,5.666666667,5.333333333,4.210526316,0,0.578947368,0.157894737,0.157894737,4.421052632,1.25,1.35,2.35,0.65,0.95,4,,1.567698685,6.36,4.05,3.64,5.95,5.72,6.3,3.545454545,1868.834564,7.6875,609,train,training,test,test,test,test,training,test,training,test,test,test,test,training,training,test,test,test,test,training,test,test,test,test,test,test
68,69,item_69,vehicles,nouns,truck,truck,truck,,,truck,FALSE,,20,4.84,2.666666667,6.208333333,6.041666667,3.111111111,0,2.277777778,0.333333333,0.888888889,4.277777778,2.043478261,2.043478261,2.608695652,0.652173913,0.956521739,4,,1.587428512,5.16,3.76,4.84,6.24,5.43,6.9,3.181818182,2506.937601,6.404141104,606,truck,training,test,test,test,training,test,training,training,test,test,test,training,test,test,test,test,test,test,test,test,test,test,test,test,test
69,70,item_70,toys,nouns,ball,ball,ball,,,ball,FALSE,,15,5,3.3,6.954545455,6.608695652,0.764705882,0.058823529,3.117647059,0.117647059,0,3.823529412,2.19047619,3.904761905,1.904761905,0.523809524,0.666666667,3,,1.492562021,6.14,3.48,3.86,6.52,5.47,6.6,6,4512.011019,5.346460498,847,ball,test,training,training,test,training,training,test,test,test,test,test,training,test,test,training,test,test,training,test,test,test,training,test,test,test
70,71,item_71,toys,nouns,balloon,balloon,balloon,,,balloon,FALSE,,18.5,4.92,4.5,6.347826087,5.523809524,1.388888889,0.222222222,3.166666667,0.222222222,0.444444444,4.222222222,0.428571429,2.333333333,1.952380952,1.476190476,0.80952381,5,2.086956522,1.773791407,6.84,3.9,3.16,6.1,5.45,,6.545454545,2471.055689,5.418732782,242,balloon,training,test,test,training,test,test,test,test,test,test,test,training,test,training,training,test,test,test,test,test,test,test,test,test,test
71,72,item_72,toys,nouns,bat,bat (object),bat,,,bat,TRUE,homophone,27,5,3.636363636,4.896551724,5.041666667,1.947368421,0.052631579,2.578947368,0.157894737,0.105263158,4.052631579,0.52173913,2.608695652,1.695652174,0.217391304,0.434782609,3,,1.236688585,4.81,4.57,5.19,5.43,4.29,6.2,1.615384615,1038.538386,5.522058824,141,bat,training,test,training,test,test,training,test,training,training,training,training,test,test,test,training,training,training,test,test,test,training,test,test,test,test
72,73,item_73,toys,nouns,block,blocks,block,,,block,FALSE,,23,4.48,5.3,6.043478261,5.413793103,0.945945946,0.27027027,2.27027027,0.567567568,0.216216216,3.459459459,1.866666667,3.066666667,2.2,0.9,1.933333333,4,,2.041841184,4.48,4.25,5.52,5.75,6.21,5.7,4.473684211,1917.780491,6.04206501,322,block,training,training,test,training,test,test,training,test,test,training,test,test,test,test,training,training,test,test,test,training,test,test,test,test,test
73,74,item_74,toys,nouns,book,book,book,,,book,FALSE,,17,4.9,3.7,6.923076923,6.47826087,1.15,0.05,2.9,0.4,0.6,4.5,0.5,3.136363636,4.090909091,0.954545455,0.545454545,3,,1.830969922,7.05,3.13,2.95,6.87,6.41,6.3,4.7,4498.914696,7.228855721,1442,book,training,training,training,test,training,training,training,training,training,training,test,training,training,test,test,test,training,test,test,test,test,test,test,test,test
75,76,item_76,toys,nouns,chalk,chalk,chalk,,,chalk,FALSE,,27,4.9,5,6.388888889,5.92,1.363636364,0.590909091,3.590909091,0.272727273,1.227272727,4.136363636,0.333333333,3.952380952,1.80952381,0.523809524,0.476190476,3,,1.647169392,5,2.9,5,7.1,5.48,6.8,2.357142857,3088.847721,7,98,chalk,test,test,test,test,training,training,training,test,test,test,test,training,training,test,test,test,test,test,test,test,training,test,test,test,test
76,77,item_77,toys,nouns,crayon,crayon,crayon,,,crayon,FALSE,,24,4.87,2.4,6.96,6.36,0.157894737,0.315789474,3.315789474,0,0.894736842,4.052631579,0.095238095,3.095238095,2,0.095238095,0.142857143,5,1.956521739,,5.76,2.91,4.24,7.09,5.93,,7.5,2157.42741,6.160206718,260,crayon,training,test,training,training,training,test,test,test,training,test,training,test,training,test,test,training,test,training,test,test,test,test,test,test,test
77,78,item_78,toys,nouns,doll,doll,doll,,,doll,FALSE,,23,5,3.6,6.542253521,6.434782609,0.588235294,0,3.058823529,0.058823529,0.117647059,4.117647059,0.454545455,1.909090909,1.818181818,0.409090909,0.681818182,3,,1.538214875,5.88,3.51,4.12,6.49,5.66,6.4,7.133333333,2591.751592,8.922695738,516,doll,training,training,training,training,training,test,test,training,test,training,test,test,test,test,test,test,test,training,training,test,test,test,test,test,test
78,79,item_79,toys,nouns,game,game,game,,,game,FALSE,,27,4.5,3.538461538,6.355633803,4.518518519,2.1875,0.0625,1.8125,1.625,0.125,3.6875,1.888888889,3.611111111,3.611111111,2.5,1.5,3,4.958333333,1.599877227,6.79,5.05,3.21,4.95,5.84,4.9,4.384615385,1442.11037,8.256281407,310,game,test,training,training,test,training,test,test,test,training,test,test,training,test,test,test,training,test,test,test,test,test,test,test,test,test
79,80,item_80,toys,nouns,glue,glue (object),glue,,,glue,TRUE,polysemy,29,4.65,4.6,6.2,5.043478261,0.285714286,0.285714286,3.047619048,0.238095238,2.857142857,3.666666667,0.3,3.15,1.7,0.35,0.2,3,,1.417541461,4.85,3.75,5.15,6.25,5.43,6.4,1.636363636,1740.519605,8.628571429,116,glue,test,test,training,training,training,test,test,test,test,training,test,test,test,test,test,test,test,training,test,test,test,test,training,test,test
80,81,item_81,toys,nouns,pen,pen,pen,,,pen,FALSE,,25,4.92,2.692307692,6.369565217,6.64,0.526315789,0.052631579,4.315789474,0.052631579,0.157894737,4.210526316,0.238095238,4.238095238,2.285714286,0.333333333,0.476190476,3,,1.759676818,5.63,2.75,4.37,7.25,6.17,6.6,2.545454545,1282.608394,7.05785124,246,pen,test,training,training,training,training,training,training,training,test,test,training,test,test,test,test,test,test,test,test,test,test,test,test,test,test
81,82,item_82,toys,nouns,pencil,pencil,pencil,,,pencil,FALSE,,26,4.88,3.4,6.911764706,5.869565217,0.210526316,0.157894737,3.684210526,0,0.842105263,3.684210526,0.238095238,3.80952381,1.142857143,0.333333333,0.047619048,6,,1.565118177,5.65,3.11,4.35,6.89,6.03,,2.363636364,1198.433979,5.707920792,168,pencil,test,training,test,training,test,test,test,training,test,training,test,training,test,training,test,test,test,training,test,test,test,training,test,test,test
83,84,item_84,toys,nouns,present,present,present,,,present,FALSE,,26,3.39,3,5.892857143,4.32,1.388888889,0.222222222,1.666666667,1,0.277777778,3.5,0.714285714,2.428571429,2.571428571,1.523809524,1.095238095,7,4.80952381,2.278701561,6.85,4.82,3.15,5.18,6.65,,4.1,1217.088144,7.908333333,232,present,test,test,training,training,test,training,training,training,test,test,training,test,test,test,test,test,test,test,test,test,test,test,test,test,test
84,85,item_85,toys,nouns,puzzle,puzzle,puzzle,,,puzzle,FALSE,,25,4.75,4.1,6.553191489,5.44,0.631578947,0.052631579,3,0.684210526,0.105263158,4.526315789,0,3.176470588,3.882352941,0.411764706,0.058823529,5,2.454545455,1.852358074,6.53,4.42,3.47,5.58,5.86,,3.307692308,1852.506722,7.915520629,310,puzzle,training,training,training,training,test,test,test,test,training,test,test,test,training,test,test,test,training,test,training,test,test,test,test,training,test
