Here is the list of words with their corresponding body-object interaction ratings:

banana: 6
wish: N
tongue: 7
soup: 7
wolf: N
lip: 7
potato chip: 7
hair: N
walk: 7
penis: N
please: N
couch: 7
awake: N
shush: N
above: N
foot: 7
train: 7
street: N
hers: N
turtle: N
does: N
our: N
him: N
sock: 7
after: N
ice cream: 7
elephant: N
about: N
hafta: N
much: N
walker: N
cookie: N
butterfly: N
potato: N
food: N
close: N
soap: N
flag: N
outside: N
bead: N
grape: N
stove: N
yourself: N
clean (action): N
a: N
potty: N
your: N
dish: 7
quack quack: N
in: N
dry (description): N
sit: 7
back: 7
mitten: 7
sleep: N
wake: N
button: 7
say: N
I: N
are: N
deer: N
monkey: N
will: N
bite: 7
rip: 7
make: 7
tuna: N
owl: N
candy: N
picnic: N
this: N
heavy: N
cow: N
mouth: 7
shoe: 7
chocolate: N
tree: N
into: N
sidewalk: N
star: N
cup: 7
pet's name: N
chin: 7
up: N
sister: N
crayon: N
pillow: N
hush: N
book: N
pop: N
under: N
stay: 7
each: N
first: N
country: N
poor: N
clean (description): N
moo: N
work (action): 7
snow: N
ball: 7
ant: N
game: N
owie: N
baby: N
was: N
any: N
want to: N
need: N
turn around: 7
sleepy: N
backyard: N
bat: N
play: N
cockadoodledoo: N
dog: N
shovel: N
brush: N
when: N
jeans: N
hear: N
so big: N
snowsuit: N
scissors: N
gas station: N
if: N
tear: N
little: N
can (auxiliary): N
sandbox: N
squirrel: N
lemme: N
asleep: N
zebra: N
hide: N
medicine: N
gum: N
blue: N
downtown: N
face: 7
wait: N
vanilla: N
sweater: N
here: N
yogurt: N
tray: N
hot: N
break: N
naughty: N
slipper: 7
fish (animal): N
noodle: N
paint: N
balloon: N
soda: N
windy: N
around: N
tomorrow: N
broom: N
sofa: N
this little piggy: N
key: N
head: 7
chair: 7
time: N
bird: N
dry (action): N
duck: N
that: N
oven: N
jelly: N
cowboy: N
hammer: N
bye: N
swing (object): 7
pajamas: 7
spaghetti: 7
sink: 7
box: 7
splash: 7
be: N
day: N
see: 7
shake: 7
donut: 7
boy: N
kick: 7
over: N
cake: 7
watch (object): 7
penguin: N
glove: N
at: N
pants: 7
towel: 7
bottom: 7
bean: N
we: N
roof: N
kitty: N
behind: N
hit: 7
fast: N
away: N
knock: 7
crib: N
daddy: N
to: N
by: N
jello: N
dress: 7
long: N
were: N
fix: 7
ouch: 7
his: N
rock: 7
take: 7
tired: N
window: N
shorts: 7
did ya: N
these: N
chicken (food): 7
jar: 7
bedroom: N
snack: 7
people: N
tonight: N
hi: N
you: N
she: N
bucket: N
for: N
then: N
clown: N
bring: 7
big: N
show: N
cheese: N
ear: 7
uncle: N
home: N
pool: N
basement: N
sauce: N
but: N
last: N
buttocks: N
room: N
carry: 7
they: N
eat: 7
yum yum: N
later: N
call: N
broken: N
underpants: N
new: N
go potty: N
nut: N
mine: N
stand: 7
boat: 7
hurry: N
nap: N
hen: N
nail: N
all: N
refrigerator: 7
bubble: N
write: N
lady: N
plant: N
bread: N
butter: N
basket: N
party: N
tickle: N
porch: N
belt: N
lawn mower: 7
hate: N
vacuum: 7
story: N
eye: 7
moose: N
french fries: 7
read: N
try: N
pull: 7
tiny: N
dance: N
tissue: N
sky: N
meow: N
those: N
corn: N
yucky: N
light: N
hat: N
cracker: N
store: N
picture: N
he: N
belly button: N
feed: N
gentle: N
toothbrush: N
catch: 7
drop: 7
bathtub: N
tummy: N
aunt: N
so: N
climb: 7
more: N
hungry: N
who: N
play dough: N
wash: 7
with: N
nice: N
apple: N
stroller: N
door: N
high chair: 7
beside: N
water (beverage): 7
old: N
clap: N
dark: N
pony: N
peekaboo: N
clock: N
pumpkin: N
babysitter's name: N
fireman: N
pizza: N
bathroom: N
play pen: N
glue: N
because: N
hamburger: N
night: N
need to: N
give me five: N
every: N
arm: 7
scared: N
friend: N
lamb: N
playground: N
another: N
drink (action): N
toast: N
vroom: N
puppy: N
carrot: N
of: N
let me: N
quiet: N
grass: N
TV: N
cover: N
snowman: N
drive: 7
meat: N
there: N
now: N
grandpa: N
park: N
popsicle: N
them: N
child's own name: N
is: N
on: N
uh oh: N
cheerio: N
would: N
babysitter: N
black: N
don't: N
cat: N
stop: N
wanna: N
bump: N
spill: N
throw: 7
rooster: N
man: N
flower: N
teddybear: N
talk: N
fork: N
can (object): 7
the: N
kleenex: N
nose: 7
white: N
going to: N
sled: N
purse: N
hug: N
boo boo: N
today: N
baa baa: N
mad: N
cheek: 7
buy: N
strawberry: N
donkey: N
push: 7
car: 7
church: N
dump: N
smile: N
pig: N
happy: N
sweep: 7
camera: N
have to: N
a lot: N
why: N
swing (action): N
muffin: N
off: N
helicopter: N
pencil: N
beach: N
lunch: N
got to: N
bicycle: 7
bunny: N
gotta: N
toy: N
stick: N
horse: N
pretzel: N
myself: N
watch (action): N
loud: N
soft: N
cereal: N
present: N
kiss: N
skate: N
nurse: N
me: N
none: N
blow: 7
shh: N
not: N
drawer: N
bad: N
try to: N
go: N
other: N
wet: N
tooth: 7
sun: N
pickle: N
tiger: N
napkin: N
yellow: N
their: N
listen: N
giraffe: N
lollipop: N
blanket: N
brother: N
open: N
moon: N
applesauce: N
camping: N
wind: N
trash: N
morning: N
orange (description): N
sad: N
girl: N
turkey: N
coke: N
hand: 7
on top of: N
milk: N
build: 7
stairs: 7
sheep: N
my: N
which: N
give: 7
and: N
bed: N
grandma: N
chalk: N
run: 7
hose: 7
hurt: 7
it: N
touch: 7
green: N
necklace: N
